Chromosome	Start	Ratio	MedianRatio	CopyNumber
20	1	-1	-1	2
20	50001	0.662768	1.09815	2
20	100001	1.42548	1.09815	2
20	150001	1.368	1.09815	2
20	200001	1.37307	1.09815	2
20	250001	1.4197	1.09815	2
20	300001	1.32188	1.09815	2
20	350001	0.827753	1.09815	2
20	400001	0.736947	1.09815	2
20	450001	1.19555	1.09815	2
20	500001	1.4126	1.09815	2
20	550001	1.06335	1.09815	2
20	600001	1.03581	1.09815	2
20	650001	1.06409	1.09815	2
20	700001	1.07629	1.09815	2
20	750001	1.0067	1.09815	2
20	800001	1.04573	1.09815	2
20	850001	0.939611	1.09815	2
20	900001	1.43085	1.09815	2
20	950001	1.17077	1.09815	2
20	1000001	0.990388	1.09815	2
20	1050001	1.19507	1.09815	2
20	1100001	1.30649	1.09815	2
20	1150001	0.864965	1.09815	2
20	1200001	1.89197	1.09815	2
20	1250001	1.30616	1.09815	2
20	1300001	1.16913	1.09815	2
20	1350001	1.04189	1.09815	2
20	1400001	1.31009	1.09815	2
20	1450001	1.15106	1.09815	2
20	1500001	0.808131	1.09815	2
20	1550001	0.759164	1.09815	2
20	1600001	0.995662	1.09815	2
20	1650001	1.02108	1.09815	2
20	1700001	1.25629	1.09815	2
20	1750001	1.23619	1.09815	2
20	1800001	1.5842	1.09815	2
20	1850001	0.976676	1.09815	2
20	1900001	1.34974	1.09815	2
20	1950001	1.2055	1.09815	2
20	2000001	1.14141	1.09815	2
20	2050001	1.51588	1.09815	2
20	2100001	1.09954	1.09815	2
20	2150001	1.04361	1.09815	2
20	2200001	1.41107	1.09815	2
20	2250001	0.945668	1.09815	2
20	2300001	1.20316	1.09815	2
20	2350001	0.941061	1.09815	2
20	2400001	1.16975	1.09815	2
20	2450001	1.08993	1.09815	2
20	2500001	0.882418	1.09815	2
20	2550001	1.45256	1.09815	2
20	2600001	1.40322	1.09815	2
20	2650001	0.875642	1.09815	2
20	2700001	1.24236	1.09815	2
20	2750001	1.13983	1.09815	2
20	2800001	0.721479	1.09815	2
20	2850001	1.07076	1.09815	2
20	2900001	1.35074	1.09815	2
20	2950001	1.58832	1.09815	2
20	3000001	0.949826	1.09815	2
20	3050001	0.901171	1.09815	2
20	3100001	1.30648	1.09815	2
20	3150001	1.29119	1.09815	2
20	3200001	0.592854	1.09815	2
20	3250001	1.12386	1.09815	2
20	3300001	0.946458	1.09815	2
20	3350001	1.33511	1.09815	2
20	3400001	0.939264	1.09815	2
20	3450001	0.920105	1.09815	2
20	3500001	1.01494	1.09815	2
20	3550001	1.46819	1.09815	2
20	3600001	1.78351	1.09815	2
20	3650001	1.0326	1.09815	2
20	3700001	0.587032	1.09815	2
20	3750001	1.0203	1.09815	2
20	3800001	0.877046	1.09815	2
20	3850001	1.43717	1.09815	2
